Image,Side,Length (px),Width (px),L/W Ratio,Total Area (px²),Contact Area (px²),Contact Ratio,Arch Index,Staheli Index
Img (copy 7).png,Right,1079.0,599.0,1.8013355592654423,645638.5,629716,0.9753383665936898,0.32899275228833313,0.845
Img (copy 7).png,Left,1079.0,604.0,1.7864238410596027,651716.0,608457,0.9336229277783574,0.32154614048322233,0.768595041322314
Img.png,Right,1079.0,599.0,1.8013355592654423,646166.0,493720,0.7640761042828004,0.30452078100947905,0.51
Img.png,Left,1079.0,604.0,1.7864238410596027,651672.0,502478,0.7710596741919248,0.2608552016207675,0.41487603305785126
Img (copy 8).png,Right,1079.0,599.0,1.8013355592654423,644540.0,592546,0.9193316163465417,0.31721925386383504,0.7633333333333333
Img (copy 8).png,Left,1079.0,604.0,1.7864238410596027,644155.5,541137,0.8400720012481458,0.3261706370105907,0.6446280991735537
Img (copy 13).png,Right,1079.0,599.0,1.8013355592654423,646321.0,577836,0.89403872069761,0.32600599478052594,0.6783333333333333
Img (copy 13).png,Left,1079.0,604.0,1.7864238410596027,651716.0,605102,0.9284749798992199,0.3154476435377837,0.6826446280991736
Img (copy 10).png,Right,1079.0,599.0,1.8013355592654423,646174.0,611796,0.9467976117887752,0.3242584129350306,0.8433333333333334
Img (copy 10).png,Left,1079.0,604.0,1.7864238410596027,651716.0,576024,0.8838573857324356,0.2873578184242323,0.4975206611570248
Img (copy 11).png,Right,1079.0,599.0,1.8013355592654423,645949.5,621140,0.9615921987709566,0.3317706153202177,0.8416666666666667
Img (copy 11).png,Left,1079.0,604.0,1.7864238410596027,651345.0,581816,0.8932531914730288,0.33813439300397374,0.7619834710743801
Img (copy 1).png,Right,1079.0,599.0,1.8013355592654423,646321.0,458777,0.7098283979632412,0.2502566606434063,0.34833333333333333
Img (copy 1).png,Left,1079.0,604.0,1.7864238410596027,651624.5,420266,0.6449511950517515,0.24392646561939343,0.3305785123966942
Img (copy 4).png,Right,1079.0,599.0,1.8013355592654423,646321.0,565940,0.8756330058902619,0.2884281019189313,0.5733333333333334
Img (copy 4).png,Left,1079.0,604.0,1.7864238410596027,651716.0,546085,0.8379186639579204,0.2845930578572933,0.47107438016528924
Img (copy 9).png,Right,1079.0,599.0,1.8013355592654423,642668.0,607513,0.9452983500034232,0.32334287496728464,0.83
Img (copy 9).png,Left,1079.0,604.0,1.7864238410596027,650249.0,503151,0.7737820434941076,0.2396755645919416,0.4578512396694215
Img (copy 3).png,Right,1079.0,599.0,1.8013355592654423,630333.5,480193,0.7618078366452045,0.2595393935355159,0.45166666666666666
Img (copy 3).png,Left,1079.0,604.0,1.7864238410596027,623724.0,415934,0.6668558529092996,0.20618415421677477,0.2958677685950413
Img (copy 14).png,Right,1079.0,599.0,1.8013355592654423,645923.5,556526,0.8615973873067012,0.37071583358189913,0.795
Img (copy 14).png,Left,1079.0,604.0,1.7864238410596027,651716.0,617401,0.9473466970275396,0.3210603805306438,0.7801652892561983
Img (copy 12).png,Right,1079.0,599.0,1.8013355592654423,646321.0,608545,0.9415522627301295,0.327546853560542,0.7966666666666666
Img (copy 12).png,Left,1079.0,604.0,1.7864238410596027,651716.0,589576,0.904651719460624,0.32456036202287747,0.7090909090909091
Img (copy 6).png,Right,1079.0,599.0,1.8013355592654423,643584.5,593451,0.9221026920318932,0.31265765834078973,0.6933333333333334
Img (copy 6).png,Left,1079.0,604.0,1.7864238410596027,646646.0,574838,0.8889531521110469,0.2915464878800636,0.5652892561983471
Img (copy 2).png,Right,1079.0,599.0,1.8013355592654423,635728.0,504051,0.7928721088264163,0.26135648972028624,0.3904109589041096
Img (copy 2).png,Left,1079.0,604.0,1.7864238410596027,636564.5,448684,0.7048523755251824,0.20789910048051635,0.26776859504132233
Img (copy 5).png,Right,1079.0,599.0,1.8013355592654423,646321.0,560262,0.8668478975617379,0.28591623204857725,0.6133333333333333
Img (copy 5).png,Left,1079.0,604.0,1.7864238410596027,651716.0,571772,0.8773330714605748,0.3037189649020938,0.5636363636363636
